,f1-score,precision,recall,support
angry,0.7636363636363636,0.6774193548387096,0.875,24.0
calm,0.43333333333333335,0.37142857142857144,0.52,25.0
disgust,0.5396825396825397,0.5862068965517241,0.5,34.0
fearful,0.6769230769230768,0.6285714285714286,0.7333333333333333,30.0
happy,0.4406779661016949,0.48148148148148145,0.40625,32.0
neutral,0.45333333333333337,0.4857142857142857,0.425,40.0
sad,0.5507246376811594,0.6551724137931034,0.475,40.0
surprised,0.6129032258064515,0.5757575757575758,0.6551724137931034,29.0
accuracy,0.5551181102362205,0.5551181102362205,0.5551181102362205,0.5551181102362205
macro avg,0.558901809562244,0.55771900101711,0.5737194683908046,254.0
weighted avg,0.5506130394556131,0.5593378001040057,0.5551181102362205,254.0
